indicator,market,lag_days,pearson_r,pearson_p,spearman_r,spearman_p,kendall_r,kendall_p,granger_p,mutual_info,regime,computed_at,min_p,category,is_significant,unexpected,abs_pearson
railway_freight,ret_NIFTYFMCG,0,0.021450339430404496,0.41471177775087026,0.007407873455247389,0.7782124844318681,0.0050533204534433974,0.7732780527518187,,0.0,all,1773591017.83056,0.41471177775087026,other,False,False,0.021450339430404496
rice_mandi,ret_BANKNIFTY,1,-0.020743411385036173,0.4247337446783247,0.009291594114221428,0.7207004113673268,0.006707598395854774,0.6987524506284614,0.5702480754476137,0.04397062848864941,all,1773591017.83056,0.4247337446783247,other,False,False,0.020743411385036173
gtrends_IPO allotment,ret_NIFTYFMCG,6,-0.020159599313750762,0.4439862754692373,-0.026228121650620845,0.3192613968934249,-0.017459545015850578,0.32023222458938216,0.506053546438878,0.0,all,1773591017.83056,0.3192613968934249,digital,False,False,0.020159599313750762
GST_collections,ret_NIFTYFMCG,18,-0.01951563624452602,0.4599292139492808,-0.03009733569966952,0.2543732911555125,-0.021235914706938554,0.22796401732104954,0.6683299515118366,0.030076320657309363,all,1773591017.83056,0.22796401732104954,other,False,False,0.01951563624452602
daylight_hours_mumbai,ret_NIFTYIT,0,0.019359470069757204,0.4562902705978789,0.014953512337970825,0.565019141829305,0.009266513968930832,0.5928949486097681,,0.022811549130791864,all,1773591017.83056,0.4562902705978789,other,False,False,0.019359470069757204
UPI_volumes,ret_NIFTYFMCG,24,-0.01909972357027703,0.47017018753961537,-0.027861520552697985,0.2920600225182134,-0.019463281137150647,0.26983652966814675,0.7172150845842774,0.0,all,1773591017.83056,0.26983652966814675,other,False,False,0.01909972357027703
gtrends_layoffs India,ret_NIFTYFMCG,30,-0.017949316474003874,0.49793318753801646,-0.034720677227587614,0.18975570217802543,-0.024083706262811255,0.1728756967712678,0.05481722473548561,0.019969820359927226,all,1773591017.83056,0.1728756967712678,digital,False,False,0.017949316474003874
gtrends_mutual fund SIP,ret_NIFTY50,14,0.017922254314471912,0.4946909633642385,0.010555244098759903,0.6875730654761469,0.008439965571894841,0.6297822154308731,0.6301886558191495,0.0141154598327633,all,1773591017.83056,0.4946909633642385,digital,False,False,0.017922254314471912
railway_freight,ret_NIFTY50,30,0.016623432690346093,0.5279182530279714,-0.03860785514017118,0.14254623613550238,-0.028219141792548995,0.10815445211295166,0.9841530047084945,0.06011964744625509,all,1773591017.83056,0.10815445211295166,other,False,False,0.016623432690346093
gtrends_EMI calculator,ret_NIFTYFMCG,0,-0.01610166803431914,0.5403916789073818,-0.01507022357751505,0.5666457690657558,-0.009908229558718073,0.572168642038424,,0.015217814420343423,all,1773591017.83056,0.5403916789073818,digital,False,False,0.01610166803431914
daylight_hours_mumbai,ret_BANKNIFTY,0,0.016002627899702006,0.5380418307687557,0.023309520146228255,0.3697143798663229,0.014968564104384099,0.3877889603649981,,0.01198945290224751,all,1773591017.83056,0.3697143798663229,other,False,False,0.016002627899702006
reservoir_level,ret_NIFTYFMCG,1,-0.01574977256935149,0.5465300853478439,-0.025029370053227685,0.33790105343267574,-0.016124888145364318,0.3551418456449873,0.5638498617092103,0.03117858858510303,all,1773591017.83056,0.33790105343267574,agricultural,False,False,0.01574977256935149
